"NAME","ROOTSTOCK__ACTIVE__C","ROOTSTOCK__ALLOW_OVERRIDE__C","ROOTSTOCK__CRITERIA__C","ROOTSTOCK__DESCRIPTION__C","ROOTSTOCK__GRID_RULE__C","ROOTSTOCK__OBJECT_TYPE__C","ROOTSTOCK__PRIORITY__C","ROOTSTOCK__UNIQUE_KEY__C","ROOTSTOCK__VERSION__C"
"Agree Pro Price by Dt & Qty - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__soagptq__c","0.0","Agree_Pro_Price_by_Dt_Qty_New_Edit","2.41"
"Agreement Pro Price by Date - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__soagpt__c","0.0","Agreement_Pro_Price_by_Date_New_Edit","2.41"
"Agreement Volume Discount - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__soaghvd__c","0.0","Agreement_Volume_Discount_New_Edit","2.41"
"Bill of Lading - New & Edit","true","false","true","Executed when creating a new Bill of Lading or editing an existing one.","false","rstk__sobol__c","0.0","Bill_of_Lading_New_Edit","2.41"
"Bill of Lading Cont Details - New & Edit","true","false","true","Executed when creating a new Bill of Lading Container Detail or editing an existing one","false","rstk__sobolc__c","0.0","Bill_of_Lading_Cont_Details_New_Edit","2.41"
"Bill of Lading Ship Details - New & Edit","true","false","true","Executed when creating a new Bill of Lading Shipper Detail or editing an existing one","false","rstk__sobols__c","0.0","Bill_of_Lading_Ship_Details_New_Edit","2.41"
"Carrier Code - New & Edit","true","false","true","Executed when creating a new record or editing an existing one","false","rstk__sycarrier__c","0.0","Carrier_Code_New_Edit","2.41"
"Clock Into Job Transaction - New & Edit","true","false","true","Executed when creating a new Clock Into Job Transaction record or editing an existing one.","false","rstk__taclockon__c","0.0","Clock_Into_Job_Transaction_New_Edit","2.41"
"Clock Off Job Transaction - New & Edit","true","false","true","Executed when creating a new Clock Off Job Transaction record or editing an existing one.","false","rstk__taclockoff__c","0.0","Clock_Off_Job_Transaction_New_Edit","2.41"
"Company Master - New & Edit","true","false","true","Executed when creating a new Company Master record or editing an existing one.","false","rstk__sycmp__c","0.0","Company_Master_New_Edit","2.41"
"Component Pricing - New & Edit","true","false","true","Executed when creating a new component or editing an existing one.","false","rstk__socompp__c","0.0","Component_Pricing_New_Edit","2.41"
"Configuration Group - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__confgroup__c","0.0","Configuration_Group_New_Edit","2.41"
"Configuration Selection - New & Edit","true","false","true","Executed when creating a new Configuration Selection Exclusions or editing an existing one.","false","rstk__confsel__c","0.0","Configuration_Selection_New_Edit","2.41"
"Configuration Selection Com - New & Edit","true","false","true","Executed when creating a new Configuration Selection Components or editing an existing one.","false","rstk__confcomp__c","0.0","Configuration_Selection_Com_New_Edit","2.41"
"Configuration Selection Exc - New & Edit","true","false","true","Executed when creating a new Configuration Selection Exclusions or editing an existing one.","false","rstk__confexcl__c","0.0","Configuration_Selection_Exc_New_Edit","2.41"
"Configuration Selection Rec - New & Edit","true","false","true","Executed when creating a new Configuration Selection Exclusions or editing an existing one.","false","rstk__confrec__c","0.0","Configuration_Selection_Rec_New_Edit","2.41"
"Configuration Selection Req - New & Edit","true","false","true","Executed when creating a new Configuration Selection Exclusions or editing an existing one.","false","rstk__confreq__c","0.0","Configuration_Selection_Req_New_Edit","2.41"
"Container Type - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__socontype__c","0.0","Container_Type_New_Edit","2.41"
"Cost Accounting Control Rec - New & Edit","true","false","true","Executed when creating a new component or editing an existing one.","false","rstk__csacctcntl__c","0.0","Cost_Accounting_Control_Rec_New_Edit","2.41"
"Cost Acct User Control Reco - New & Edit","true","false","true","Executed when creating a new component or editing an existing one.","false","rstk__csusracctcntl__c","0.0","Cost_Acct_User_Control_Reco_New_Edit","2.41"
"Currency Master - New & Edit","true","false","true","Set Currency Master Details","false","rstk__sycurr__c","0.0","Currency_Master_New_Edit","2.41"
"Currency Master Alt Ex Rate - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__sycurralt__c","0.0","Currency_Master_Alt_Ex_Rate_New_Edit","2.41"
"Cust Class Prod Disc by Qty - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__soccpdd__c","0.0","Cust_Class_Prod_Disc_by_Qty_New_Edit","2.41"
"Cust Cls Prod Grp Disc Qty - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__soccccdd__c","0.0","Cust_Cls_Prod_Grp_Disc_Qty_New_Edit","2.41"
"Cust Prod Discount by Qty - New & Edit","true","false","true","Executed when creating  new record or deleting an existing one.","false","rstk__sopcd__c","0.0","Cust_Prod_Discount_by_Qty_New_Edit","2.41"
"Customer Address - New & Edit","true","false","true","Executed when creating a new record or editing an existing one.","false","rstk__socaddr__c","0.0","Customer_Address_New_Edit","2.41"
