Name,Package_Version__c,Group__c,Sequence__c,Type__c,Action__c,Object_Name__c,PLA_Layout_Name__c,PLA_Record_Type_Name__c,Profile_Name__c
Opportunity-Opportunity Layout,,RSTK-9651,,Profile,Update,Opportunity,rootstock__Opportunity Layout,,Admin
rstk__confcomp__c-Configuration Selection Components Default Layout,,RSTK-9651,,Profile,Update,rstk__confcomp__c,rootstock__Configuration Selection Components Default Layout,,Admin
rstk__confexcl__c-Configuration Selection Exclusions Default Layout,,RSTK-9651,,Profile,Update,rstk__confexcl__c,rootstock__Configuration Selection Exclusions Default Layout,,Admin
rstk__confgroup__c-Configuration Group Default Layout,,RSTK-9651,,Profile,Update,rstk__confgroup__c,rootstock__Configuration Group Default Layout,,Admin
rstk__confreq__c-Configuration Selection Requirements Default Layout,,RSTK-9651,,Profile,Update,rstk__confreq__c,rootstock__Configuration Selection Requirements Default Layout,,Admin
rstk__confrec__c-Configuration Selection Recommendations Default Layout,,RSTK-9651,,Profile,Update,rstk__confrec__c,rootstock__Configuration Selection Recommendations Default Layout,,Admin
rstk__confsel__c-Configuration Selections Default Layout,,RSTK-9651,,Profile,Update,rstk__confsel__c,rootstock__Configuration Selections Default Layout,,Admin
rstk__csacctcntl__c-Cost Accounting Control Record Default Layout,,RSTK-9651,,Profile,Update,rstk__csacctcntl__c,rootstock__Cost Accounting Control Record Default Layout,,Admin
rstk__csusracctcntl__c-Cost Acct User Control Record Default Layout,,RSTK-9651,,Profile,Update,rstk__csusracctcntl__c,rootstock__Cost Acct User Control Record Default Layout,,Admin
rstk__ibconttype__c-Inbound Shipment Container Type Default Layout,,RSTK-9651,,Profile,Update,rstk__ibconttype__c,rootstock__Inbound Shipment Container Type Default Layout,,Admin
rstk__ibship__c-Inbound Shipment Master Default Layout,,RSTK-9651,,Profile,Update,rstk__ibship__c,rootstock__Inbound Shipment Master Default Layout,,Admin
rstk__ibrtetype__c-Inbound Shipment Route Type Default Layout,,RSTK-9651,,Profile,Update,rstk__ibrtetype__c,rootstock__Inbound Shipment Route Type Default Layout,,Admin
rstk__ibshipcont__c-Inbound Shipment Container Default Layout,,RSTK-9651,,Profile,Update,rstk__ibshipcont__c,rootstock__Inbound Shipment Container Default Layout,,Admin
rstk__ibshipcontdtl__c-Inbound Shipment Container Contents Default Layout,,RSTK-9651,,Profile,Update,rstk__ibshipcontdtl__c,rootstock__Inbound Shipment Container Contents Default Layout,,Admin
rstk__ibshipstep__c-Inbound Shipment Step Default Layout,,RSTK-9651,,Profile,Update,rstk__ibshipstep__c,rootstock__Inbound Shipment Step Default Layout,,Admin
rstk__ibroute__c-Inbound Shipment Route Master Default Layout,,RSTK-9651,,Profile,Update,rstk__ibroute__c,rootstock__Inbound Shipment Route Master Default Layout,,Admin
rstk__ibroutestep__c-Inbound Shipment Route Steps Default Layout,,RSTK-9651,,Profile,Update,rstk__ibroutestep__c,rootstock__Inbound Shipment Route Steps Default Layout,,Admin
rstk__iccomcod__c-Inventory Commodity Code Default Layout,,RSTK-9651,,Profile,Update,rstk__iccomcod__c,rootstock__Inventory Commodity Code Default Layout,,Admin
rstk__iccomcodacc__c-Inventory Commodity Account Default Layout,,RSTK-9651,,Profile,Update,rstk__iccomcodacc__c,rootstock__Inventory Commodity Account Default Layout,,Admin
rstk__icfcstdmd__c-Forecast Demand Default Layout,,RSTK-9651,,Profile,Update,rstk__icfcstdmd__c,rootstock__Forecast Demand Default Layout,,Admin
rstk__icitem__c-Inventory Item Master - Count,,RSTK-9651,,Profile,Update,rstk__icitem__c,rootstock__Inventory Item Master - Count,,Admin
rstk__icitem__c-Inventory Item Master Default Layout,,RSTK-9651,,Profile,Update,rstk__icitem__c,rootstock__Inventory Item Master Default Layout,,Admin
rstk__icitemacc__c-Inventory Item Account Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemacc__c,rootstock__Inventory Item Account Default Layout,,Admin
rstk__icitemlot__c-Inventory By Lot Number Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemlot__c,rootstock__Inventory By Lot Number Default Layout,,Admin
rstk__icitemlotfeat__c-Inventory by Lot Number Features Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemlotfeat__c,rootstock__Inventory by Lot Number Features Default Layout,,Admin
rstk__icitemproj__c-Inventory By Item%2FProject Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemproj__c,rootstock__Inventory By Item%2FProject Default Layout,,Admin
rstk__icitemsite__c-Inventory Item by Site Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemsite__c,rootstock__Inventory Item by Site Default Layout,,Admin
rstk__icitemsiteproj__c-Item by Site%2FProject Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemsiteproj__c,rootstock__Item by Site%2FProject Default Layout,,Admin
rstk__icitemsrl__c-Inventory By Serial Number Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemsrl__c,rootstock__Inventory By Serial Number Default Layout,,Admin
rstk__icitemsrlfeat__c-Inventory by Serial Number Features Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemsrlfeat__c,rootstock__Inventory by Serial Number Features Default Layout,,Admin
rstk__icitemsrlhist__c-Item Serial Change History Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemsrlhist__c,rootstock__Item Serial Change History Default Layout,,Admin
rstk__icitemstd__c-Inventory Item Standard Costs Default Layout,,RSTK-9651,,Profile,Update,rstk__icitemstd__c,rootstock__Inventory Item Standard Costs Default Layout,,Admin
rstk__icjobcode__c-Job Code Master Default Layout,,RSTK-9651,,Profile,Update,rstk__icjobcode__c,rootstock__Job Code Master Default Layout,,Admin
rstk__iclocitem__c-Inventory by Location - Count,,RSTK-9651,,Profile,Update,rstk__iclocitem__c,rootstock__Inventory by Location - Count,,Admin
rstk__iclocitem__c-Inventory By Location Default Layout,,RSTK-9651,,Profile,Update,rstk__iclocitem__c,rootstock__Inventory By Location Default Layout,,Admin
rstk__icmrprsch__c-MRP Action Messages Default Layout,,RSTK-9651,,Profile,Update,rstk__icmrprsch__c,rootstock__MRP Action Messages Default Layout,,Admin
rstk__icreq__c-Inventory Requisitions Default Layout,,RSTK-9651,,Profile,Update,rstk__icreq__c,rootstock__Inventory Requisitions Default Layout,,Admin
rstk__inspord__c-Inspection Order Default Layout,,RSTK-9651,,Profile,Update,rstk__inspord__c,rootstock__Inspection Order Default Layout,,Admin
rstk__inspordsrl__c-Inspection Order Serial Detail Default Layout,,RSTK-9651,,Profile,Update,rstk__inspordsrl__c,rootstock__Inspection Order Serial Detail Default Layout,,Admin
rstk__inspordstep__c-Inspection Order Steps Default Layout,,RSTK-9651,,Profile,Update,rstk__inspordstep__c,rootstock__Inspection Order Steps Default Layout,,Admin
rstk__mrplaunch__c-MRP Default Layout,,RSTK-9651,,Profile,Update,rstk__mrplaunch__c,rootstock__MRP Default Layout,,Admin
rstk__mrpsch__c-Mrp Schedule Default Layout,,RSTK-9651,,Profile,Update,rstk__mrpsch__c,rootstock__Mrp Schedule Default Layout,,Admin
rstk__mrpplannotes__c-MRPPLANNOTES Default Layout,,RSTK-9651,,Profile,Update,rstk__mrpplannotes__c,rootstock__MRPPLANNOTES Default Layout,,Admin
rstk__pecoh__c-ECO Master Header Default Layout,,RSTK-9651,,Profile,Update,rstk__pecoh__c,rootstock__ECO Master Header Default Layout,,Admin
rstk__pecoi__c-ECO Master Detail Default Layout,,RSTK-9651,,Profile,Update,rstk__pecoi__c,rootstock__ECO Master Detail Default Layout,,Admin
rstk__pecor__c-ECO Reason Codes Default Layout,,RSTK-9651,,Profile,Update,rstk__pecor__c,rootstock__ECO Reason Codes Default Layout,,Admin
rstk__peitemrev__c-Engineering Item Revision Default Layout,,RSTK-9651,,Profile,Update,rstk__peitemrev__c,rootstock__Engineering Item Revision Default Layout,,Admin
rstk__pjproj__c-Project Master Default Layout,,RSTK-9651,,Profile,Update,rstk__pjproj__c,rootstock__Project Master Default Layout,,Admin
