"NAME","ROOTSTOCK__ACTION__C","ROOTSTOCK__ACTIVE__C","ROOTSTOCK__ALLOW_OVERRIDE__C","ROOTSTOCK__COMPONENT_NAME__C","ROOTSTOCK__CONTROLLER_API_NAMES__C","ROOTSTOCK__CRITERIA__C","ROOTSTOCK__DESCRIPTION__C","ROOTSTOCK__DISPLAY_API_NAMES__C","ROOTSTOCK__EVENT_TYPE__C","ROOTSTOCK__OBJECT_API_NAME__C","ROOTSTOCK__SEQUENCE__C","ROOTSTOCK__TARGET_API_NAME__C","ROOTSTOCK__TARGET_API_NAMES__C","ROOTSTOCK__TARGET_VALUE__C","ROOTSTOCK__TOAST_BODY__C","ROOTSTOCK__TOAST_TYPE__C","ROOTSTOCK__UNIQUE_KEY__C","ROOTSTOCK__VERSION__C","ROOTSTOCK__UI_RULE__R.ROOTSTOCK__UNIQUE_KEY__C","ROOTSTOCK__APEX_CLASS_NAME__C","ROOTSTOCK__APEX_CLASS_NAMESPACE__C","ROOTSTOCK__APEX_INPUT_FIELD_MAPPING__C","ROOTSTOCK__APEX_OUTPUT_FIELD_MAPPING__C"
"ABC ""A"" item percentage - Set Scale","Set Attributes","true","false",,,"true","Set scale - ABC ""A"" item percentage",,"ON LOAD",,,"rstk__sydiv_apercent__c",,"{
""step"" : 0.01
}",,,"ABC_A_item_percentage_Set_Scale","2.41","Division_Master_New_Edit",,,,
"ABC ""A"" item percentage - Update","Field Update","true","false",,"rstk__sydiv_apercent__c","true","Update - ABC ""A"" item percentage",,"ON CHANGE",,,"rstk__sydiv_apercent__c",,"Math.round(record.rstk__sydiv_apercent__c* 100) / 100",,,"ABC_A_item_percentage_Update","2.41","Division_Master_New_Edit",,,,
"ABC ""C"" item percentage - Set Scale","Set Attributes","true","false",,,"true","Set scale - ABC ""C"" item percentage",,"ON LOAD",,,"rstk__sydiv_cpercent__c",,"{
""step"" : 0.01
}",,,"ABC_C_item_percentage_Set_Scale","2.41","Division_Master_New_Edit",,,,
"ABC ""C"" item percentage - Update","Field Update","true","false",,"rstk__sydiv_cpercent__c","true","Update - ABC ""C"" item percentage",,"ON CHANGE",,,"rstk__sydiv_cpercent__c",,"Math.round(record.rstk__sydiv_cpercent__c* 100) / 100",,,"ABC_C_item_percentage_Update","2.41","Division_Master_New_Edit",,,,
"ABC Class - Update","Field Update","true","false",,"rstk__icitem_abc__c","NOT(ISNULL(record.rstk__icitem_abc__c))","Update ABC Class to uppercase",,"ON CHANGE",,,"rstk__icitem_abc__c",,"(record.rstk__icitem_abc__c.toUpperCase())",,,"ABC_Class_Update","2.41","Inventory_Item_Master_New_Edit",,,,
"ABC Class Inv Com Code - Update","Field Update","true","false",,"rstk__iccomcod_refroutitem__c","true","Update ABC Class to uppercase",,"ON CHANGE",,,"rstk__iccomcod_abc__c",,"record.rstk__iccomcod_refroutitem__r.rstk__rtrouthdr_item__r.rstk__icitem_abc__c",,,"ABC_Class_Inv_Com_Code_Update","2.41","Inventory_Commodity_Code_New_Edit",,,,
"Acc, Div To Div Move Stds Vn - ReadOnly","Set Read / Edit","true","false",,"rstk__sydiv_costtype_pl__c","true","Set Account, Div To Div Move Stds Variance as ReadOnly based on Cost Method",,"ON LOAD & ON CHANGE",,,"rstk__sydiv_divdivstdsvaracct__c",,"record.rstk__sydiv_costtype_pl__c == 'Standard Cost'",,,"Acc_Div_To_Div_Move_Stds_Vn_ReadOnly","2.41","Division_Master_New_Edit",,,,
"Acc, Non-Nett Inv Inv item Acc - Filter","Apply Filter","true","false",,,"true","Filter Account, Non-Nettable Inventory based on division and GLType",,"ON LOAD",,,"rstk__icitemacc_invnnacct__c",,"""rstk__syacc_div__c = '"" + record.rstk__icitemacc_div__c +""' AND (rstk__syacc_gltype_pl__c = 'Non Nettable' OR rstk__syacc_gltype_pl__c = 'Inventory')""",,,"Acc_Non_Nett_Inv_Inv_item_Acc_Filter","2.41","Inventory_Item_Account_New_Edit",,,,
"Acc, WO/Subc PO Var Inv Item Acc- Filter","Apply Filter","true","false",,,"true","Filter Account, WO/Subc PO Variance based on division and GLType",,"ON LOAD",,,"rstk__icitemacc_wovaracct__c",,"""rstk__syacc_div__c = '"" + record.rstk__icitemacc_div__c +""' AND rstk__syacc_gltype_pl__c = 'WO/Subc PO Variance'""",,,"Acc_WO_Subc_PO_Var_Inv_Item_Acc_Filter","2.41","Inventory_Item_Account_New_Edit",,,,
"Account Source -  ReadOnly","Set Read / Edit","true","false",,"rstk__sydiv_costtype_pl__c","true","Set Account Source as ReadOnly based on Cost Method",,"ON LOAD & ON CHANGE",,,"rstk__sydiv_itemprojacctsrcind_pl__c",,"record.rstk__sydiv_costtype_pl__c != 'Standard Cost'",,,"Account_Source_ReadOnly","2.41","Division_Master_New_Edit",,,,
"Account Source - Update","Field Update","true","false",,"rstk__sydiv_costtype_pl__c","ISNEW() || record.rstk__sydiv_costtype_pl__c == 'Standard Cost'","Update Account Source based on Cost Method",,"ON LOAD & ON CHANGE",,,"rstk__sydiv_itemprojacctsrcind_pl__c",,"'Item'",,,"Account_Source_Update","2.41","Division_Master_New_Edit",,,,
"Account, Accrued AP - Filter","Apply Filter","true","false",,"rstk__sycmp_mfgacctdiv__c","true","Filter Account, Accrued AP based on Mfg Accounting Division and 	GL Type",,"ON LOAD & ON CHANGE",,,"rstk__sycmp_apclracct__c",,"NOT(ISNULL(record.rstk__sycmp_mfgacctdiv__c)) ? ""rstk__syacc_div__c = '"" + record.rstk__sycmp_mfgacctdiv__c  + ""' and rstk__syacc_gltype_pl__c = 'Accrued AP'"" : ""rstk__syacc_div__c = null""",,,"Account_Accrued_AP_Filter","2.41","Company_Master_New_Edit",,,,
"Account, Accrued AP - Update","Field Update","true","false",,"rstk__sycmp_mfgacctdiv__c","true","Update Account, Accrued AP based on Mfg Accounting Division",,"ON CHANGE",,,"rstk__sycmp_apclracct__c",,"null",,,"Account_Accrued_AP_Update","2.41","Company_Master_New_Edit",,,,
"Account, Adjustment Clear - Set Override","Set Default","true","false",,"rstk__icitemacc_adjclracctind__c","true","Account, Adjustment Clearing - Set Override",,"ON LOAD & ON CHANGE",,"0.0","rstk__icitemacc_adjclracct__c",,"record.rstk__icitemacc_comcod__r.rstk__iccomcodacc_adjclracct__c",,,"Account_Adjustment_Clear_Set_Override","2.41","Inventory_Item_Account_New_Edit",,,,
